No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1,Region 2,Continent,
4,Algeria,DZA,12,Northern Africa,,Africa,<option value='Algeria'>Algeria</option>
7,Angola,AGO,24,Middle Africa,Sub-Saharan Africa,Africa,<option value='Angola'>Angola</option>
24,Benin,BEN,204,Western Africa,Sub-Saharan Africa,Africa,<option value='Benin'>Benin</option>
30,Botswana,BWA,72,Southern Africa,Sub-Saharan Africa,Africa,<option value='Botswana'>Botswana</option>
33,British Indian Ocean Territory,IOT,86,Eastern Africa,Sub-Saharan Africa,Africa,<option value='British Indian Ocean Territory'>British Indian Ocean Territory</option>
37,Burkina Faso,BFA,854,Western Africa,Sub-Saharan Africa,Africa,<option value='Burkina Faso'>Burkina Faso</option>
38,Burundi,BDI,108,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Burundi'>Burundi</option>
39,Cabo Verde,CPV,132,Western Africa,Sub-Saharan Africa,Africa,<option value='Cabo Verde'>Cabo Verde</option>
41,Cameroon,CMR,120,Middle Africa,Sub-Saharan Africa,Africa,<option value='Cameroon'>Cameroon</option>
44,Central African Republic,CAF,140,Middle Africa,Sub-Saharan Africa,Africa,<option value='Central African Republic'>Central African Republic</option>
45,Chad,TCD,148,Middle Africa,Sub-Saharan Africa,Africa,<option value='Chad'>Chad</option>
53,Comoros,COM,174,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Comoros'>Comoros</option>
54,Congo,COG,178,Middle Africa,Sub-Saharan Africa,Africa,<option value='Congo'>Congo</option>
57,Côte d’Ivoire,CIV,384,Western Africa,Sub-Saharan Africa,Africa,<option value='Côte d’Ivoire'>Côte d’Ivoire</option>
64,Democratic Republic of the Congo,COD,180,Middle Africa,Sub-Saharan Africa,Africa,<option value='Democratic Republic of the Congo'>Democratic Republic of the Congo</option>
66,Djibouti,DJI,262,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Djibouti'>Djibouti</option>
70,Egypt,EGY,818,Northern Africa,,Africa,<option value='Egypt'>Egypt</option>
72,Equatorial Guinea,GNQ,226,Middle Africa,Sub-Saharan Africa,Africa,<option value='Equatorial Guinea'>Equatorial Guinea</option>
73,Eritrea,ERI,232,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Eritrea'>Eritrea</option>
75,Eswatini,SWZ,748,Southern Africa,Sub-Saharan Africa,Africa,<option value='Eswatini'>Eswatini</option>
76,Ethiopia,ETH,231,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Ethiopia'>Ethiopia</option>
84,French Southern Territories,ATF,260,Eastern Africa,Sub-Saharan Africa,Africa,<option value='French Southern Territories'>French Southern Territories</option>
85,Gabon,GAB,266,Middle Africa,Sub-Saharan Africa,Africa,<option value='Gabon'>Gabon</option>
86,Gambia,GMB,270,Western Africa,Sub-Saharan Africa,Africa,<option value='Gambia'>Gambia</option>
89,Ghana,GHA,288,Western Africa,Sub-Saharan Africa,Africa,<option value='Ghana'>Ghana</option>
98,Guinea,GIN,324,Western Africa,Sub-Saharan Africa,Africa,<option value='Guinea'>Guinea</option>
99,Guinea-Bissau,GNB,624,Western Africa,Sub-Saharan Africa,Africa,<option value='Guinea-Bissau'>Guinea-Bissau</option>
120,Kenya,KEN,404,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Kenya'>Kenya</option>
127,Lesotho,LSO,426,Southern Africa,Sub-Saharan Africa,Africa,<option value='Lesotho'>Lesotho</option>
128,Liberia,LBR,430,Western Africa,Sub-Saharan Africa,Africa,<option value='Liberia'>Liberia</option>
129,Libya,LBY,434,Northern Africa,,Africa,<option value='Libya'>Libya</option>
133,Madagascar,MDG,450,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Madagascar'>Madagascar</option>
134,Malawi,MWI,454,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Malawi'>Malawi</option>
137,Mali,MLI,466,Western Africa,Sub-Saharan Africa,Africa,<option value='Mali'>Mali</option>
141,Mauritania,MRT,478,Western Africa,Sub-Saharan Africa,Africa,<option value='Mauritania'>Mauritania</option>
142,Mauritius,MUS,480,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Mauritius'>Mauritius</option>
143,Mayotte,MYT,175,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Mayotte'>Mayotte</option>
150,Morocco,MAR,504,Northern Africa,,Africa,<option value='Morocco'>Morocco</option>
151,Mozambique,MOZ,508,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Mozambique'>Mozambique</option>
153,Namibia,NAM,516,Southern Africa,Sub-Saharan Africa,Africa,<option value='Namibia'>Namibia</option>
160,Niger,NER,562,Western Africa,Sub-Saharan Africa,Africa,<option value='Niger'>Niger</option>
161,Nigeria,NGA,566,Western Africa,Sub-Saharan Africa,Africa,<option value='Nigeria'>Nigeria</option>
182,Réunion,REU,638,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Réunion'>Réunion</option>
185,Rwanda,RWA,646,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Rwanda'>Rwanda</option>
187,Saint Helena,SHN,654,Western Africa,Sub-Saharan Africa,Africa,<option value='Saint Helena'>Saint Helena</option>
195,Sao Tome and Principe,STP,678,Middle Africa,Sub-Saharan Africa,Africa,<option value='Sao Tome and Principe'>Sao Tome and Principe</option>
198,Senegal,SEN,686,Western Africa,Sub-Saharan Africa,Africa,<option value='Senegal'>Senegal</option>
200,Seychelles,SYC,690,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Seychelles'>Seychelles</option>
201,Sierra Leone,SLE,694,Western Africa,Sub-Saharan Africa,Africa,<option value='Sierra Leone'>Sierra Leone</option>
207,Somalia,SOM,706,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Somalia'>Somalia</option>
208,South Africa,ZAF,710,Southern Africa,Sub-Saharan Africa,Africa,<option value='South Africa'>South Africa</option>
210,South Sudan,SSD,728,Eastern Africa,Sub-Saharan Africa,Africa,<option value='South Sudan'>South Sudan</option>
214,Sudan,SDN,729,Northern Africa,,Africa,<option value='Sudan'>Sudan</option>
223,Togo,TGO,768,Western Africa,Sub-Saharan Africa,Africa,<option value='Togo'>Togo</option>
227,Tunisia,TUN,788,Northern Africa,,Africa,<option value='Tunisia'>Tunisia</option>
232,Uganda,UGA,800,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Uganda'>Uganda</option>
236,United Republic of Tanzania,TZA,834,Eastern Africa,Sub-Saharan Africa,Africa,<option value='United Republic of Tanzania'>United Republic of Tanzania</option>
246,Western Sahara,ESH,732,Northern Africa,,Africa,<option value='Western Sahara'>Western Sahara</option>
248,Zambia,ZMB,894,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Zambia'>Zambia</option>
249,Zimbabwe,ZWE,716,Eastern Africa,Sub-Saharan Africa,Africa,<option value='Zimbabwe'>Zimbabwe</option>
9,Antarctica,ATA,10,Antarctica,,Antarctica,<option value='Antarctica'>Antarctica</option>
1,Afghanistan,AFG,4,Southern Asia,,Asia,<option value='Afghanistan'>Afghanistan</option>
12,Armenia,ARM,51,Western Asia,,Asia,<option value='Armenia'>Armenia</option>
16,Azerbaijan,AZE,31,Western Asia,,Asia,<option value='Azerbaijan'>Azerbaijan</option>
18,Bahrain,BHR,48,Western Asia,,Asia,<option value='Bahrain'>Bahrain</option>
19,Bangladesh,BGD,50,Southern Asia,,Asia,<option value='Bangladesh'>Bangladesh</option>
26,Bhutan,BTN,64,Southern Asia,,Asia,<option value='Bhutan'>Bhutan</option>
35,Brunei Darussalam,BRN,96,South-eastern Asia,,Asia,<option value='Brunei Darussalam'>Brunei Darussalam</option>
40,Cambodia,KHM,116,South-eastern Asia,,Asia,<option value='Cambodia'>Cambodia</option>
47,China,CHN,156,Eastern Asia,,Asia,<option value='China'>China</option>
48,"China, Hong Kong Special Administrative Region",HKG,344,Eastern Asia,,Asia,"<option value='China, Hong Kong Special Administrative Region'>China, Hong Kong Special Administrative Region</option>"
49,"China, Macao Special Administrative Region",MAC,446,Eastern Asia,,Asia,"<option value='China, Macao Special Administrative Region'>China, Macao Special Administrative Region</option>"
61,Cyprus,CYP,196,Western Asia,,Asia,<option value='Cyprus'>Cyprus</option>
63,Democratic People's Republic of Korea,PRK,408,Eastern Asia,,Asia,<option value='Democratic People's Republic of Korea'>Democratic People's Republic of Korea</option>
87,Georgia,GEO,268,Western Asia,,Asia,<option value='Georgia'>Georgia</option>
107,India,IND,356,Southern Asia,,Asia,<option value='India'>India</option>
108,Indonesia,IDN,360,South-eastern Asia,,Asia,<option value='Indonesia'>Indonesia</option>
109,Iran (Islamic Republic of),IRN,364,Southern Asia,,Asia,<option value='Iran (Islamic Republic of)'>Iran (Islamic Republic of)</option>
110,Iraq,IRQ,368,Western Asia,,Asia,<option value='Iraq'>Iraq</option>
113,Israel,ISR,376,Western Asia,,Asia,<option value='Israel'>Israel</option>
116,Japan,JPN,392,Eastern Asia,,Asia,<option value='Japan'>Japan</option>
118,Jordan,JOR,400,Western Asia,,Asia,<option value='Jordan'>Jordan</option>
119,Kazakhstan,KAZ,398,Central Asia,,Asia,<option value='Kazakhstan'>Kazakhstan</option>
122,Kuwait,KWT,414,Western Asia,,Asia,<option value='Kuwait'>Kuwait</option>
123,Kyrgyzstan,KGZ,417,Central Asia,,Asia,<option value='Kyrgyzstan'>Kyrgyzstan</option>
124,Lao People's Democratic Republic,LAO,418,South-eastern Asia,,Asia,<option value='Lao People's Democratic Republic'>Lao People's Democratic Republic</option>
126,Lebanon,LBN,422,Western Asia,,Asia,<option value='Lebanon'>Lebanon</option>
135,Malaysia,MYS,458,South-eastern Asia,,Asia,<option value='Malaysia'>Malaysia</option>
136,Maldives,MDV,462,Southern Asia,,Asia,<option value='Maldives'>Maldives</option>
147,Mongolia,MNG,496,Eastern Asia,,Asia,<option value='Mongolia'>Mongolia</option>
152,Myanmar,MMR,104,South-eastern Asia,,Asia,<option value='Myanmar'>Myanmar</option>
155,Nepal,NPL,524,Southern Asia,,Asia,<option value='Nepal'>Nepal</option>
167,Oman,OMN,512,Western Asia,,Asia,<option value='Oman'>Oman</option>
168,Pakistan,PAK,586,Southern Asia,,Asia,<option value='Pakistan'>Pakistan</option>
174,Philippines,PHL,608,South-eastern Asia,,Asia,<option value='Philippines'>Philippines</option>
179,Qatar,QAT,634,Western Asia,,Asia,<option value='Qatar'>Qatar</option>
180,Republic of Korea,KOR,410,Eastern Asia,,Asia,<option value='Republic of Korea'>Republic of Korea</option>
197,Saudi Arabia,SAU,682,Western Asia,,Asia,<option value='Saudi Arabia'>Saudi Arabia</option>
202,Singapore,SGP,702,South-eastern Asia,,Asia,<option value='Singapore'>Singapore</option>
212,Sri Lanka,LKA,144,Southern Asia,,Asia,<option value='Sri Lanka'>Sri Lanka</option>
213,State of Palestine,PSE,275,Western Asia,,Asia,<option value='State of Palestine'>State of Palestine</option>
219,Syrian Arab Republic,SYR,760,Western Asia,,Asia,<option value='Syrian Arab Republic'>Syrian Arab Republic</option>
220,Tajikistan,TJK,762,Central Asia,,Asia,<option value='Tajikistan'>Tajikistan</option>
221,Thailand,THA,764,South-eastern Asia,,Asia,<option value='Thailand'>Thailand</option>
222,Timor-Leste,TLS,626,South-eastern Asia,,Asia,<option value='Timor-Leste'>Timor-Leste</option>
228,Turkey,TUR,792,Western Asia,,Asia,<option value='Turkey'>Turkey</option>
229,Turkmenistan,TKM,795,Central Asia,,Asia,<option value='Turkmenistan'>Turkmenistan</option>
234,United Arab Emirates,ARE,784,Western Asia,,Asia,<option value='United Arab Emirates'>United Arab Emirates</option>
241,Uzbekistan,UZB,860,Central Asia,,Asia,<option value='Uzbekistan'>Uzbekistan</option>
244,Viet Nam,VNM,704,South-eastern Asia,,Asia,<option value='Viet Nam'>Viet Nam</option>
247,Yemen,YEM,887,Western Asia,,Asia,<option value='Yemen'>Yemen</option>
2,Åland Islands,ALA,248,Northern Europe,,Europe,<option value='Åland Islands'>Åland Islands</option>
3,Albania,ALB,8,Southern Europe,,Europe,<option value='Albania'>Albania</option>
6,Andorra,AND,20,Southern Europe,,Europe,<option value='Andorra'>Andorra</option>
15,Austria,AUT,40,Western Europe,,Europe,<option value='Austria'>Austria</option>
21,Belarus,BLR,112,Eastern Europe,,Europe,<option value='Belarus'>Belarus</option>
22,Belgium,BEL,56,Western Europe,,Europe,<option value='Belgium'>Belgium</option>
29,Bosnia and Herzegovina,BIH,70,Southern Europe,,Europe,<option value='Bosnia and Herzegovina'>Bosnia and Herzegovina</option>
36,Bulgaria,BGR,100,Eastern Europe,,Europe,<option value='Bulgaria'>Bulgaria</option>
58,Croatia,HRV,191,Southern Europe,,Europe,<option value='Croatia'>Croatia</option>
62,Czechia,CZE,203,Eastern Europe,,Europe,<option value='Czechia'>Czechia</option>
65,Denmark,DNK,208,Northern Europe,,Europe,<option value='Denmark'>Denmark</option>
74,Estonia,EST,233,Northern Europe,,Europe,<option value='Estonia'>Estonia</option>
78,Faroe Islands,FRO,234,Northern Europe,,Europe,<option value='Faroe Islands'>Faroe Islands</option>
80,Finland,FIN,246,Northern Europe,,Europe,<option value='Finland'>Finland</option>
81,France,FRA,250,Western Europe,,Europe,<option value='France'>France</option>
88,Germany,DEU,276,Western Europe,,Europe,<option value='Germany'>Germany</option>
90,Gibraltar,GIB,292,Southern Europe,,Europe,<option value='Gibraltar'>Gibraltar</option>
91,Greece,GRC,300,Southern Europe,,Europe,<option value='Greece'>Greece</option>
97,Guernsey,GGY,831,Northern Europe,Channel Islands,Europe,<option value='Guernsey'>Guernsey</option>
103,Holy See,VAT,336,Southern Europe,,Europe,<option value='Holy See'>Holy See</option>
105,Hungary,HUN,348,Eastern Europe,,Europe,<option value='Hungary'>Hungary</option>
106,Iceland,ISL,352,Northern Europe,,Europe,<option value='Iceland'>Iceland</option>
111,Ireland,IRL,372,Northern Europe,,Europe,<option value='Ireland'>Ireland</option>
112,Isle of Man,IMN,833,Northern Europe,,Europe,<option value='Isle of Man'>Isle of Man</option>
114,Italy,ITA,380,Southern Europe,,Europe,<option value='Italy'>Italy</option>
117,Jersey,JEY,832,Northern Europe,Channel Islands,Europe,<option value='Jersey'>Jersey</option>
125,Latvia,LVA,428,Northern Europe,,Europe,<option value='Latvia'>Latvia</option>
130,Liechtenstein,LIE,438,Western Europe,,Europe,<option value='Liechtenstein'>Liechtenstein</option>
131,Lithuania,LTU,440,Northern Europe,,Europe,<option value='Lithuania'>Lithuania</option>
132,Luxembourg,LUX,442,Western Europe,,Europe,<option value='Luxembourg'>Luxembourg</option>
138,Malta,MLT,470,Southern Europe,,Europe,<option value='Malta'>Malta</option>
146,Monaco,MCO,492,Western Europe,,Europe,<option value='Monaco'>Monaco</option>
148,Montenegro,MNE,499,Southern Europe,,Europe,<option value='Montenegro'>Montenegro</option>
156,Netherlands,NLD,528,Western Europe,,Europe,<option value='Netherlands'>Netherlands</option>
164,North Macedonia,MKD,807,Southern Europe,,Europe,<option value='North Macedonia'>North Macedonia</option>
166,Norway,NOR,578,Northern Europe,,Europe,<option value='Norway'>Norway</option>
176,Poland,POL,616,Eastern Europe,,Europe,<option value='Poland'>Poland</option>
177,Portugal,PRT,620,Southern Europe,,Europe,<option value='Portugal'>Portugal</option>
181,Republic of Moldova,MDA,498,Eastern Europe,,Europe,<option value='Republic of Moldova'>Republic of Moldova</option>
183,Romania,ROU,642,Eastern Europe,,Europe,<option value='Romania'>Romania</option>
184,Russian Federation,RUS,643,Eastern Europe,,Europe,<option value='Russian Federation'>Russian Federation</option>
194,San Marino,SMR,674,Southern Europe,,Europe,<option value='San Marino'>San Marino</option>
196,Sark,,680,Northern Europe,Channel Islands,Europe,<option value='Sark'>Sark</option>
199,Serbia,SRB,688,Southern Europe,,Europe,<option value='Serbia'>Serbia</option>
204,Slovakia,SVK,703,Eastern Europe,,Europe,<option value='Slovakia'>Slovakia</option>
205,Slovenia,SVN,705,Southern Europe,,Europe,<option value='Slovenia'>Slovenia</option>
211,Spain,ESP,724,Southern Europe,,Europe,<option value='Spain'>Spain</option>
216,Svalbard and Jan Mayen Islands,SJM,744,Northern Europe,,Europe,<option value='Svalbard and Jan Mayen Islands'>Svalbard and Jan Mayen Islands</option>
217,Sweden,SWE,752,Northern Europe,,Europe,<option value='Sweden'>Sweden</option>
218,Switzerland,CHE,756,Western Europe,,Europe,<option value='Switzerland'>Switzerland</option>
233,Ukraine,UKR,804,Eastern Europe,,Europe,<option value='Ukraine'>Ukraine</option>
235,United Kingdom of Great Britain and Northern Ireland,GBR,826,Northern Europe,,Europe,<option value='United Kingdom of Great Britain and Northern Ireland'>United Kingdom of Great Britain and Northern Ireland</option>
8,Anguilla,AIA,660,Caribbean,Latin America and the Caribbean,North America,<option value='Anguilla'>Anguilla</option>
10,Antigua and Barbuda,ATG,28,Caribbean,Latin America and the Caribbean,North America,<option value='Antigua and Barbuda'>Antigua and Barbuda</option>
13,Aruba,ABW,533,Caribbean,Latin America and the Caribbean,North America,<option value='Aruba'>Aruba</option>
17,Bahamas,BHS,44,Caribbean,Latin America and the Caribbean,North America,<option value='Bahamas'>Bahamas</option>
20,Barbados,BRB,52,Caribbean,Latin America and the Caribbean,North America,<option value='Barbados'>Barbados</option>
23,Belize,BLZ,84,Central America,Latin America and the Caribbean,North America,<option value='Belize'>Belize</option>
25,Bermuda,BMU,60,Northern America,,North America,<option value='Bermuda'>Bermuda</option>
28,"Bonaire, Sint Eustatius and Saba",BES,535,Caribbean,Latin America and the Caribbean,North America,"<option value='Bonaire, Sint Eustatius and Saba'>Bonaire, Sint Eustatius and Saba</option>"
34,British Virgin Islands,VGB,92,Caribbean,Latin America and the Caribbean,North America,<option value='British Virgin Islands'>British Virgin Islands</option>
42,Canada,CAN,124,Northern America,,North America,<option value='Canada'>Canada</option>
43,Cayman Islands,CYM,136,Caribbean,Latin America and the Caribbean,North America,<option value='Cayman Islands'>Cayman Islands</option>
56,Costa Rica,CRI,188,Central America,Latin America and the Caribbean,North America,<option value='Costa Rica'>Costa Rica</option>
59,Cuba,CUB,192,Caribbean,Latin America and the Caribbean,North America,<option value='Cuba'>Cuba</option>
60,Curaçao,CUW,531,Caribbean,Latin America and the Caribbean,North America,<option value='Curaçao'>Curaçao</option>
67,Dominica,DMA,212,Caribbean,Latin America and the Caribbean,North America,<option value='Dominica'>Dominica</option>
68,Dominican Republic,DOM,214,Caribbean,Latin America and the Caribbean,North America,<option value='Dominican Republic'>Dominican Republic</option>
71,El Salvador,SLV,222,Central America,Latin America and the Caribbean,North America,<option value='El Salvador'>El Salvador</option>
92,Greenland,GRL,304,Northern America,,North America,<option value='Greenland'>Greenland</option>
93,Grenada,GRD,308,Caribbean,Latin America and the Caribbean,North America,<option value='Grenada'>Grenada</option>
94,Guadeloupe,GLP,312,Caribbean,Latin America and the Caribbean,North America,<option value='Guadeloupe'>Guadeloupe</option>
